scene_name,num_agents,min_ttc,off-road_rate,collision_rate,rss_lon,rss_lat,jsd_vel,jsd_acc,jsd_jerk,fdd
scene-0003,8,0.0,0.2125,0.01625,41,52,0.30558563239321107,0.06908855723291277,0.23485148071116133,1.494150887856162
scene-0013,6,0.009549812846851106,0.175,0.0,0,15,0.495492196840236,0.028553386010058104,0.12230922925326843,1.37459765283685
scene-0014,2,5.0236094146047074,0.3625,0.0,0,0,0.11299703063390948,0.03744795778452763,0.16473379234964222,4.654399971099276
scene-0015,2,0.3393929524392622,0.7225,0.0,0,0,0.3435549240514817,0.023936219750280388,0.1725698011569639,4.99312016537315
scene-0017,2,0.7103913777346855,0.2575,0.0,0,0,0.041752693271398765,0.18296846988209398,0.29368000673659567,6.230890288870585
scene-0018,21,0.0,0.10785714285714286,0.060476190476190475,432,712,0.12792795134941,0.03690039098173856,0.15052153774457006,1.2617776488160504
scene-0035,9,0.0033115871745692544,0.07611111111111112,0.0,0,10,0.28408196552256326,0.05205782147762955,0.0924256447419767,1.2193939722072311
scene-0036,9,0.0,0.14722222222222223,0.021666666666666667,64,100,0.12500052831899353,0.01165170773646113,0.043696415000346656,0.5851247307849906
scene-0038,6,0.019268787690950136,0.4683333333333333,0.0,0,8,0.04064852583009567,0.05676938981438643,0.2606352227458096,2.5850515713608058
scene-0039,15,0.0,0.16033333333333333,0.039,218,361,0.581204473481382,0.058663202101247945,0.2004689034952222,2.160207506830232
scene-0093,34,0.0,0.1948529411764706,0.0775,627,2512,0.40859232499876297,0.06754941048624272,0.21618692161055217,1.978380137684556
scene-0094,8,0.010488311407493886,0.1375,0.0,0,12,0.6465908325765164,0.13288120013112073,0.26234150370908843,2.319217956850648
scene-0095,18,0.0,0.17027777777777778,0.006388888888888889,20,114,0.4661729579864508,0.07804474008848554,0.19333095530700745,2.1675153495032577
scene-0096,17,0.0020832267769444295,0.13970588235294118,0.0,0,24,0.46805127753683795,0.10343825398364942,0.22622159293538663,1.8316719517591997
scene-0097,13,0.0,0.08115384615384616,0.10307692307692308,315,578,0.14794909251185331,0.041924385035260796,0.24334377029204424,2.620528312229366
scene-0098,18,0.0,0.22444444444444445,0.04027777777777778,187,462,0.710120766859863,0.09130275790800953,0.3400406144594063,2.6047456973337986
scene-0099,22,0.0,0.13318181818181818,0.09386363636363636,614,846,0.23730186698863176,0.026567463155718247,0.09894304433507567,0.7457631020276455
scene-0100,16,0.0,0.0,0.0234375,100,607,0.07397344577861384,0.0026672985336513902,0.006407511040607631,0.41351361578159596
scene-0101,15,0.0,0.03266666666666666,0.051,235,622,0.20394345214768525,0.06248822371623601,0.18379713581627302,2.2744365948481784
scene-0102,14,0.0,0.1957142857142857,0.010714285714285714,125,593,0.13808228471898737,0.05702491984210633,0.21259155813803188,2.5171165474469914
scene-0103,12,0.0,0.25458333333333333,0.02625,84,209,0.5514599074488667,0.0680526972047179,0.18863234169064594,2.2623986615777305
scene-0104,24,0.0,0.2875,0.05875,369,807,0.3816621947447051,0.059136883288712014,0.19243412963523696,3.4139614569353194
scene-0105,26,0.0,0.10480769230769231,0.008653846153846154,91,170,0.2843362877709153,0.05053237403531128,0.11797047499285955,0.7809021705356031
scene-0106,22,0.0,0.30022727272727273,0.012727272727272728,94,274,0.5780573091995693,0.0963099428752573,0.30101221503454834,2.3778642461175523
scene-0107,9,0.0,0.2633333333333333,0.15388888888888888,300,609,0.14094625078041229,0.10893157686349811,0.1838566917527693,2.899010626725983
scene-0108,15,0.007124184257993022,0.06666666666666667,0.0,45,0,0.035717772274241576,0.019552370410345604,0.059920727677249486,0.32966081672802305
scene-0109,16,0.0,0.218125,0.1196875,432,768,0.3387957968742388,0.08542641821718991,0.24745652286347186,1.5578697152686993
scene-0110,18,0.0,0.10388888888888889,0.029722222222222223,668,161,0.1911238285636335,0.017451799072442913,0.05187940338003142,0.5530507461369386
scene-0221,11,0.0,0.4813636363636364,0.008636363636363636,54,89,0.700035110333917,0.08726943394829739,0.32461236664542426,3.7697171589974583
scene-0268,3,0.005922431662497128,0.6066666666666667,0.0,0,0,0.3134664382775163,0.11623200940796607,0.1865700931451036,3.7953868001176603
scene-0269,5,0.05326898140724063,0.588,0.0,0,0,0.3376885910710085,0.10371443978102118,0.2259596299072822,2.158905186529222
scene-0270,1,,0.61,0.0,0,0,,,,4.290710730301706
scene-0271,4,0.05530794236420541,0.3975,0.0,0,36,0.6084538581971825,0.0391223089350632,0.23390221295755767,1.7710274935876462
scene-0272,4,0.0028946571488566246,0.6625,0.0,0,34,0.15868712303775043,0.05358294031487206,0.17490032658316787,5.798545682273413
scene-0273,5,0.0,0.337,0.021,28,58,0.954017193093379,0.12232908301660561,0.2069018163683849,3.249213221435484
scene-0274,9,0.0,0.2833333333333333,0.021666666666666667,77,98,0.5055945269442239,0.09257682630061229,0.20974344211400664,2.6450149734675534
scene-0275,9,0.0,0.17,0.06,170,272,0.08921824341013956,0.05254366197756468,0.1436104052937447,2.8485925112311783
scene-0276,12,0.0,0.09875,0.10208333333333333,271,711,0.3727661119823864,0.14038531968158063,0.18415428425400232,2.0263287567137946
scene-0277,5,0.010762923271409089,0.265,0.0,4,7,0.4018724948138839,0.16418223447230457,0.23264405220384105,3.3526873409873565
scene-0278,15,0.0,0.15766666666666668,0.06266666666666666,6,423,0.21129981358689093,0.024917066187806005,0.14361123394226213,0.8994450854920504
scene-0329,20,0.0,0.27025,0.07675,410,2145,0.09539622691731935,0.008840353708329559,0.04324188918644003,0.6469287727028131
scene-0330,14,0.009737477781322638,0.18321428571428572,0.0,0,597,0.07250045526526169,0.02731154800712834,0.15509504886193407,0.40249806139898253
scene-0331,42,0.0,0.08047619047619048,0.07416666666666667,536,5879,0.1570689577701468,0.017291347161516746,0.0848826589276775,0.5878824908815177
scene-0332,47,0.0,0.06829787234042553,0.005,60,3993,0.019022030346103475,0.00292688634435499,0.02536571673712668,0.05020444030895378
scene-0344,9,0.0,0.3738888888888889,0.08388888888888889,205,742,0.7909927851714733,0.07137696195689763,0.2692200133727071,2.24030843444735
scene-0345,11,0.0,0.21681818181818183,0.03590909090909091,88,312,0.15237475502938563,0.04547304858990997,0.23653553138220174,2.6397503500932027
scene-0346,2,0.04590690001216397,0.1875,0.0,3,2,0.1438567763789249,0.07125152299390153,0.46329829033328407,5.235804617028488
scene-0519,26,0.0,0.25153846153846154,0.04,209,475,0.3210207098853043,0.026357483071236743,0.14440914694928833,1.2094223227883125
scene-0520,22,0.0,0.16590909090909092,0.052954545454545456,319,572,0.41489927363343376,0.038767240258659394,0.1821716151632441,1.2734023156976013
scene-0521,26,0.0,0.09942307692307692,0.018846153846153846,309,263,0.04646653320077016,0.014188081389222623,0.0511174071455955,0.9575375103274818
scene-0522,25,0.0,0.1162,0.0068,309,549,0.31621021917606057,0.043786031788424155,0.15855848729211222,1.4810313701610818
scene-0523,28,0.0,0.11714285714285715,0.022321428571428572,71,3008,0.2818516850450813,0.031194056251427463,0.0971566978928145,1.119526524615467
scene-0524,47,0.0,0.09776595744680851,0.003617021276595745,153,2917,0.11146668388205697,0.02391708823052323,0.12291553040349006,0.4212427991929006
scene-0552,11,0.0,0.22590909090909092,0.05090909090909091,227,259,0.48742296727090884,0.05538311236908714,0.18985615863200442,1.519296980456017
scene-0553,18,0.0,0.1763888888888889,0.10666666666666667,413,1026,0.13330868758333433,0.0825309321473573,0.10763828221467932,2.5527995457983854
scene-0554,12,0.0,0.008333333333333333,0.11083333333333334,320,750,0.15867437059714232,0.05251495812797654,0.08562038288176506,1.3570427986078388
scene-0555,12,0.0,0.06666666666666667,0.18083333333333335,493,1171,0.5234322919003885,0.12328546573141831,0.2427121099318469,3.0818002645562
scene-0556,30,0.0,0.1,0.017,216,222,0.29963401328827877,0.061385978559341484,0.20505733387269934,0.9902318080794026
scene-0557,8,0.0,0.421875,0.015625,31,102,0.3025508483936972,0.08446941533170235,0.2702947284212886,2.44497946169791
scene-0558,25,0.0,0.0896,0.0512,362,518,0.06984706165397796,0.03614566482748543,0.09062083182003684,0.9250038660546668
scene-0559,15,0.0021316254639967163,0.23366666666666666,0.0,23,23,0.5047510405397152,0.05646482309585454,0.2649786303169467,1.727890499985009
scene-0560,22,0.0,0.09931818181818182,0.25931818181818184,1101,2447,0.14629147170601375,0.03659882932759851,0.14206697404749066,1.0565789234673861
scene-0561,26,0.0,0.16096153846153846,0.07384615384615385,483,1013,0.2137979292385838,0.04746055484625839,0.15655260230723705,2.1097642773628866
scene-0562,29,0.0,0.18,0.03103448275862069,289,922,0.5030180615706158,0.09038576842318594,0.24535987044639868,1.8319432686182744
scene-0563,21,0.0,0.26785714285714285,0.1019047619047619,535,1437,0.1514161077014721,0.05362643129685839,0.14257693853384873,2.096644669996252
scene-0564,24,0.0,0.13083333333333333,0.3566666666666667,1973,4465,0.17032120104273055,0.06045480098573718,0.24042071313110017,2.600601507709163
scene-0565,19,0.0,0.3857894736842105,0.04026315789473684,205,495,0.5864877770545612,0.10343474577273568,0.32817075355189906,3.578412369630838
scene-0625,14,0.0,0.17392857142857143,0.08892857142857143,399,523,0.545760029862638,0.03954557646156543,0.2866535221646125,1.4017721740475724
scene-0626,19,0.0,0.1168421052631579,0.002105263157894737,9,44,0.3688300448665356,0.05486029397212802,0.21520936536616497,1.9844946533557124
scene-0629,20,0.0,0.02825,0.05,200,1600,0.023041607015522568,0.017844630300527502,0.05918995229001905,0.5417235229456994
scene-0634,44,0.0,0.015,0.036931818181818184,338,3615,0.07415132326475514,0.01871069476129283,0.09983216153056998,0.12780709639173804
scene-0635,45,0.0,0.024444444444444446,0.028777777777777777,861,2439,0.03102319466874128,0.003053137254754833,0.016045715489972072,0.11338620700055396
scene-0636,28,0.0,0.15642857142857142,0.0425,261,2369,0.2676915642901448,0.02315934181984588,0.08941018578515804,0.9765090892402302
scene-0637,32,0.0,0.11421875,0.09,877,1288,0.2993265613680905,0.037783157100073066,0.16980455446913217,1.0935756014037483
scene-0638,17,0.0,0.09470588235294118,0.04264705882352941,186,340,0.1507281204514201,0.03533815363383453,0.04756650715726386,1.183425355618099
scene-0770,5,3.505238790868783,0.0,0.0,0,0,6.471391928587129e-14,3.968351000075416e-15,2.8363209057190015e-10,0.3199119856875194
scene-0771,4,6934.969543147208,0.0,0.0,0,0,0.0,1.560466074630679e-16,5.680323443099221e-12,0.0
scene-0775,4,0.004531697689286604,0.265,0.0,0,2,0.7992212625185081,0.07569749739036397,0.25260127402922766,2.2197656091890834
scene-0777,3,0.07428571673026783,0.12166666666666667,0.0,0,0,0.4959791417343622,0.05050189178281226,0.22085143535989293,2.0161457503469364
scene-0780,20,0.0,0.01475,0.005,40,57,0.03964400749846934,0.014967592339992633,0.03550802092853226,0.416867703971306
scene-0781,32,0.0,0.10328125,0.06140625,1006,1130,0.4209945153032767,0.09667285098395952,0.20198441977608558,1.694388230511581
scene-0782,22,0.0,0.07340909090909091,0.042727272727272725,261,513,0.32432169988565646,0.055709536765712754,0.18129342522152014,2.430137393717302
scene-0783,24,0.0,0.22208333333333333,0.08770833333333333,474,1140,0.2784110047777071,0.08109782652379008,0.20687026274562334,3.385779477593258
scene-0784,25,0.0,0.1418,0.1044,578,1494,0.3802199468317056,0.04391473030321216,0.19536059229721958,2.1598451285052356
scene-0794,36,0.0,0.1775,0.07305555555555555,662,1589,0.5924884366676815,0.10915996292795639,0.26789499390775146,3.5863987213003643
scene-0795,40,0.0,0.148375,0.098625,1017,2421,0.4577331294946221,0.08235989719452017,0.23180958485698852,1.8401883245097885
scene-0796,14,0.0,0.2717857142857143,0.024285714285714285,109,241,0.8698494805420132,0.10674962520658769,0.30997903217942835,4.139089941277652
scene-0797,8,0.0,0.255625,0.044375,68,284,0.35899680304535914,0.06998547750544358,0.4201465218684025,4.13700827209573
scene-0904,22,0.0,0.17863636363636365,0.012954545454545455,130,209,0.05342401951366531,0.03980122445761668,0.1351746241889124,2.5031298879462933
scene-0905,18,0.0,0.26555555555555554,0.019166666666666665,83,237,0.6506042873048942,0.0661140196520977,0.29824368623763936,3.1148995780944824
scene-0906,17,0.0,0.18470588235294116,0.011176470588235295,83,143,0.6334366070999468,0.05907374435130884,0.20509725770411838,1.8055037510874836
scene-0907,19,0.0,0.2557894736842105,0.010789473684210526,54,96,0.49010155890462087,0.0794291566081249,0.26176027401462315,1.8146853607930138
scene-0908,12,0.0,0.21041666666666667,0.02,61,152,0.3909545263851152,0.060530001378199506,0.17744509797302657,2.6081087124243116
