scene_name,num_agents,min_ttc,off-road_rate,collision_rate,rss_lon,rss_lat,jsd_vel,jsd_acc,jsd_jerk,fdd
scene-0003,8,0.1060820379810453,0.375,0.0,0,0,0.0661525924964019,0.0177680220005763,0.092087924931321,2.040637730360032
scene-0013,5,0.0597159121460922,0.0,0.0,0,0,0.1285882643895489,0.0363599809594464,0.0968761725223235,3.349207691192628
scene-0014,2,8.926044177169555,0.04,0.0,0,0,0.1157362863812944,0.0462117907766894,0.1477501912894451,4.483583092689515
scene-0015,2,0.022978014184584,0.03,0.0,8,94,0.3021643878561789,0.1069652890853998,0.1740133633742068,5.774034657245503
scene-0018,21,0.0019651056213851,0.0009523809523809,0.0,7,23,0.0469601961206803,0.030485550626379,0.1001877919537947,1.5012831735513397
scene-0035,9,0.0032430866856285,0.0,0.0,0,0,0.0260988391321842,0.039725776451148,0.0895072055669503,2.222274159325494
scene-0036,9,0.0168092951846317,0.2222222222222222,0.0,0,26,0.0154741676708299,0.010377540615509,0.0205477941804611,0.9256368276807998
scene-0038,6,0.0240844491898434,0.5,0.0,0,6,0.0121086363544995,0.0530383914528627,0.0845581897340538,4.128061078389486
scene-0039,15,0.0022823553722055,0.0,0.0,9,225,0.0170810199886254,0.048638942534329,0.1038651396845394,3.407756710541745
scene-0093,34,0.0019053477424214,0.1470588235294117,0.0,193,553,0.063202584894689,0.0417454403620722,0.0778375790470211,2.894850145352676
scene-0094,7,0.0056149111928548,0.1428571428571428,0.0,0,0,0.0407013528062899,0.118084970588994,0.2029216091651242,3.9688940906524657
scene-0095,18,0.0083621881688949,0.0,0.0,5,39,0.0738221981969194,0.0690247502329469,0.0689715451588255,2.169692176539037
scene-0096,17,0.0017838320628983,0.0,0.0,4,11,0.1053583663423772,0.0735658678380226,0.1382227745199389,3.92867816588458
scene-0097,13,0.011370511881698,0.0,0.0,0,0,0.0683093515872843,0.0369506878139662,0.0523416938038658,0.5201851536677435
scene-0098,18,0.0007534833984709,0.0,0.0,179,70,0.0517537724201046,0.042232685523644,0.1289759085075644,4.253620096842448
scene-0099,23,0.0,0.0278260869565217,0.0039130434782608,180,162,0.0785026228554196,0.0299376915871707,0.0637002216292864,1.7772401217792344
scene-0100,16,5.360016437824694,0.0,0.0,0,200,0.0175230801038934,0.0099201100643152,0.0166276390786051,0.0407046818290836
scene-0101,15,3.019786255763958,0.0666666666666666,0.0,0,100,0.130944299788673,0.0385959406937059,0.066149346642379,0.3784067673546573
scene-0102,14,0.0,0.0,0.0021428571428571,6,544,0.0908525740487199,0.0434819752558244,0.1243836697803261,2.565686438764845
scene-0103,12,0.0040656793205779,0.0,0.0,2,23,0.1147371346268365,0.0673301762811035,0.1136312597513304,4.2009594567616775
scene-0104,24,0.0022774986146381,0.0,0.0,18,149,0.1564689123464082,0.0639467396483455,0.1204259904793782,3.5393215097102813
scene-0105,26,0.0083397403974976,0.0115384615384615,0.0,43,71,0.0579992403031112,0.0387420631987469,0.0853133595497567,1.0694000911941897
scene-0106,22,0.0,0.0454545454545454,0.004090909090909,110,123,0.1334332090258056,0.084027964612495,0.1976986735913347,3.6763479236233976
scene-0107,9,0.0,0.0,0.1188888888888888,104,238,0.0563635415528531,0.0941982910924041,0.1512207502518123,3.584801493022178
scene-0108,15,0.0089993955806324,0.0666666666666666,0.0,0,3,0.051952651855816,0.0049566471694229,0.0507177547998885,0.4883422147432962
scene-0109,16,0.0,0.128125,0.0625,94,200,0.0202375628358419,0.0554993305438378,0.1379148950889666,2.6344415768468754
scene-0110,18,0.0011725924195185,0.1111111111111111,0.0,201,1,0.0379355814125618,0.0199654117585326,0.0498313207206725,1.4454372697406352
scene-0221,11,0.0029112122757144,0.0909090909090909,0.0,34,2,0.1057860290058154,0.0629872844639424,0.148971756107343,6.143646642078054
scene-0268,3,0.0286924763043966,0.3333333333333333,0.0,0,44,0.0797473811586106,0.0843375377185785,0.14560712067525,5.854079500834147
scene-0269,5,0.0184370054504945,0.402,0.0,1,30,0.1713206519942457,0.1011352586425604,0.1551021429850282,3.5289311647415174
scene-0271,4,0.0990065934065934,0.25,0.0,0,46,0.121665630134932,0.0408127392466968,0.1624164250808378,2.241840834617615
scene-0272,4,0.0283753679637837,0.285,0.0,0,10,0.156112447344762,0.0723856704733882,0.1372959728212613,4.661927332878112
scene-0273,5,0.004576880992598,0.0,0.0,0,0,0.2621754839890672,0.1748172431692966,0.2129913127064051,6.378552326202396
scene-0274,9,0.0091469294850306,0.0,0.0,95,0,0.0098295813333849,0.0845881530549903,0.1267548635350889,4.444685850143433
scene-0275,9,0.0,0.0088888888888888,0.0077777777777777,5,113,0.1596593020707296,0.0462686991864087,0.1211479924126311,4.652048887676663
scene-0276,11,0.008642463757003,0.0909090909090909,0.0,20,73,0.1756575499740793,0.0912486341138386,0.1680859428935282,4.539726953377779
scene-0277,5,0.0199290327235639,0.0,0.0,0,2,0.0912038773758071,0.0774208063192413,0.1734454500142164,4.825753074645997
