scene_name,num_agents,min_ttc,off-road_rate,collision_rate,rss_lon,rss_lat,jsd_vel,jsd_acc,jsd_jerk,fdd
scene-0003,8,0.002354086466548853,0.3025,0.0,12,3,0.5134710485813438,0.08498701096070345,0.29784911305688616,3.459897890592876
scene-0013,6,0.006356708400602331,0.20333333333333334,0.0,0,0,0.48694960882226,0.05729471793709584,0.22717175262816655,2.9455954300729856
scene-0014,2,0.004717832312391794,0.4725,0.0,0,0,0.13853120905981986,0.12385060307120101,0.43693752311954404,8.459122422870838
scene-0015,2,0.017531801273695552,0.7275,0.0,0,0,0.20897634997326747,0.13385521939682504,0.46746019309557874,8.581679406417043
scene-0017,2,0.457851593552117,0.715,0.0,0,0,0.18581559126021263,0.1573387299655693,0.4138361297196084,9.31087725990697
scene-0018,21,0.0,0.135,0.09785714285714285,588,1217,0.15114101454887324,0.050151782387357506,0.19722492141349887,3.0197419430916774
scene-0035,9,0.013463146114905638,0.11388888888888889,0.0,0,0,0.27514767030820064,0.05557384422164799,0.09704086697624374,1.8873055369951572
scene-0036,9,0.03253938775156114,0.16,0.0,0,23,0.12500052830961184,0.01165170773646113,0.04369641496833122,1.037646860044602
scene-0038,6,0.0,0.43666666666666665,0.025,46,89,0.14357922244902785,0.053402969090891886,0.20360702751643975,4.199331808257522
scene-0039,15,0.0,0.128,0.0033333333333333335,17,73,0.5840972679885482,0.07744041470178144,0.2723503880057916,3.9349188355562976
scene-0093,34,0.0,0.1673529411764706,0.03705882352941176,323,1598,0.47628277406870617,0.0785717796774013,0.24450465592063816,3.7529805483980447
scene-0094,8,0.019217531243216093,0.19375,0.0,0,2,0.6278344207736091,0.13324464314275095,0.2798226530522182,4.038320858604029
scene-0095,18,0.0,0.13194444444444445,0.03194444444444444,262,526,0.5497041311377753,0.11448434139919321,0.47190807992786526,5.861770130625943
scene-0096,17,0.0,0.14029411764705882,0.01,31,118,0.44912097131202516,0.1193066885778882,0.2474366840172894,4.093208124497357
scene-0097,13,0.0,0.1280769230769231,0.04692307692307692,132,315,0.14872104139633255,0.04389581588679517,0.28650166870971966,4.969977764793736
scene-0098,18,0.0,0.22,0.03333333333333333,194,345,0.7027050773799318,0.13658197893449656,0.39148274949202294,4.961565290306047
scene-0099,22,0.0,0.02931818181818182,0.08431818181818182,548,754,0.23684422390684948,0.029768199500645378,0.11196808226853584,1.4634030600369834
scene-0100,16,0.008446671581063067,0.016875,0.0,0,400,0.12693094393547186,0.012416494758590219,0.044713945266878545,1.1094825714512873
scene-0101,15,0.0,0.17466666666666666,0.026,75,342,0.3564702388259607,0.09043668845890548,0.2768549696010227,4.175065964012815
scene-0102,14,0.0,0.21107142857142858,0.0325,221,778,0.05133696526560371,0.06436869169114277,0.2362038823891446,4.50672925389799
scene-0103,12,0.0,0.0825,0.01875,80,198,0.5179401945715438,0.10703844686000373,0.3706736190700391,5.661760280676056
scene-0104,24,0.0,0.22333333333333333,0.018541666666666668,139,402,0.3917169007351958,0.09253598818236054,0.30151719547993205,5.88337353990789
scene-0105,26,0.0,0.09903846153846153,0.015,92,208,0.27657532592609163,0.058975980859211664,0.14499181430999739,2.076348594016874
scene-0106,22,0.0,0.2175,0.05818181818181818,306,661,0.5738494983021575,0.12715039830589928,0.3706327400322167,4.229648150941402
