scene_name,num_agents,min_ttc,off-road_rate,collision_rate,rss_lon,rss_lat,jsd_vel,jsd_acc,jsd_jerk,fdd
scene-0003,8,0.0023540864665488,0.3025,0.0,12,3,0.5134710485813438,0.0849870109607034,0.2978491130568861,3.459897890592876
scene-0013,6,0.0063567084006023,0.2033333333333333,0.0,0,0,0.48694960882226,0.0572947179370958,0.2271717526281665,2.9455954300729856
scene-0014,2,0.0047178323123917,0.4725,0.0,0,0,0.1385312090598198,0.123850603071201,0.436937523119544,8.459122422870838
scene-0015,2,0.0175318012736955,0.7275,0.0,0,0,0.2089763499732674,0.133855219396825,0.4674601930955787,8.581679406417043
scene-0018,21,0.0,0.135,0.0978571428571428,588,1217,0.1511410145488732,0.0501517823873575,0.1972249214134988,3.019741943091677
scene-0035,9,0.0134631461149056,0.1138888888888888,0.0,0,0,0.2751476703082006,0.0555738442216479,0.0970408669762437,1.8873055369951568
scene-0036,9,0.0325393877515611,0.16,0.0,0,23,0.1250005283096118,0.0116517077364611,0.0436964149683312,1.037646860044602
scene-0038,6,0.0,0.4366666666666666,0.025,46,89,0.1435792224490278,0.0534029690908918,0.2036070275164397,4.199331808257522
scene-0039,15,0.0,0.128,0.0033333333333333,17,73,0.5840972679885482,0.0774404147017814,0.2723503880057916,3.9349188355562976
scene-0093,34,0.0,0.1673529411764706,0.0370588235294117,323,1598,0.4762827740687061,0.0785717796774013,0.2445046559206381,3.7529805483980447
scene-0094,8,0.019217531243216,0.19375,0.0,0,2,0.6278344207736091,0.1332446431427509,0.2798226530522182,4.038320858604029
scene-0095,18,0.0,0.1319444444444444,0.0319444444444444,262,526,0.5497041311377753,0.1144843413991932,0.4719080799278652,5.861770130625943
scene-0096,17,0.0,0.1402941176470588,0.01,31,118,0.4491209713120251,0.1193066885778882,0.2474366840172894,4.093208124497357
scene-0097,13,0.0,0.1280769230769231,0.0469230769230769,132,315,0.1487210413963325,0.0438958158867951,0.2865016687097196,4.969977764793736
scene-0098,18,0.0,0.22,0.0333333333333333,194,345,0.7027050773799318,0.1365819789344965,0.3914827494920229,4.961565290306047
scene-0099,22,0.0,0.0293181818181818,0.0843181818181818,548,754,0.2368442239068494,0.0297681995006453,0.1119680822685358,1.4634030600369834
scene-0100,16,0.008446671581063,0.016875,0.0,0,400,0.1269309439354718,0.0124164947585902,0.0447139452668785,1.1094825714512873
scene-0101,15,0.0,0.1746666666666666,0.026,75,342,0.3564702388259607,0.0904366884589054,0.2768549696010227,4.175065964012815
scene-0102,14,0.0,0.2110714285714285,0.0325,221,778,0.0513369652656037,0.0643686916911427,0.2362038823891446,4.50672925389799
scene-0103,12,0.0,0.0825,0.01875,80,198,0.5179401945715438,0.1070384468600037,0.3706736190700391,5.661760280676056
scene-0104,24,0.0,0.2233333333333333,0.0185416666666666,139,402,0.3917169007351958,0.0925359881823605,0.301517195479932,5.88337353990789
scene-0105,26,0.0,0.0990384615384615,0.015,92,208,0.2765753259260916,0.0589759808592116,0.1449918143099973,2.076348594016874
scene-0106,22,0.0,0.2175,0.0581818181818181,306,661,0.5738494983021575,0.1271503983058992,0.3706327400322167,4.229648150941402
scene-0107,9,0.0,0.2488888888888888,0.1111111111111111,200,400,0.0650807125934659,0.08819663801303,0.2055064903208218,4.788815113089935
scene-0108,15,0.0011289004168831,0.103,0.0,50,16,0.0442596166949431,0.019780151717928,0.0655193060986425,0.6643653403834293
scene-0109,16,0.0,0.118125,0.108125,374,675,0.3399745504965162,0.0921123333472173,0.2866958023460391,2.616414799941213
scene-0110,18,0.0,0.1019444444444444,0.0297222222222222,668,161,0.1897390069031501,0.0280359271489362,0.0798507692481085,0.9633979119194876
scene-0221,11,0.0,0.4759090909090909,0.0104545454545454,43,60,0.6821920275046914,0.1218833462472517,0.4123190715101048,6.339167059209358
scene-0268,3,0.000895067160954,0.3333333333333333,0.0,0,0,0.3071792516922816,0.1712828729940452,0.3897591854302205,5.93905533104612
scene-0269,5,0.0,0.659,0.009,13,33,0.4835362593378283,0.1513040988440776,0.3032551648123469,5.58212252968236
